Address,Birthday,City,Email,FirstName,LastName,Phone,State,ZipCode,ACTComposite,ACTEnglish,ACTMath,ACTReading,ACTScience,Address_2,CampusSpecialty,Captured,CollegeCEEB,CollegeGPA,CollegeGradYear,CollegeName,ContactPreference,Country,Ethnicity,Gender,HighSchoolCEEB,HighSchoolGPA,HighSchoolGradYear,HighSchoolName,HighSchoolNCES,HighSchoolNicheID,IntendedDegree,MajorCIP,MajorName,PartnerID,ProspectiveType,Religion,ROTCInterest,SATComposite,SATMath,SATReading,TransferEnrollmentDate,VeteranStatus
11420 Steel St,03/30/2008,Detroit,holliday.lacharity.tsm27@gmail.com,LaCharity,Holliday,3138194993,MI,48227,,,,,,,campus,2026-07-19 16:48:40,,,,,any,United States,African American,F,231661,2.8,2027,The School at Marygrove,260110308932,e001608f-3f92-469e-9942-ba115b74a8e5,Bachelor's (4 year),27.01,Mathematics,Niche,High School Student,i-prefer-not-to-answer,,960.00,470,490,,
3922 Braeburn Dr,03/27/2009,Muskegon,agracer09@icloud.com,Aralyn,Rodarmel,2319559953,MI,49441,,,,,,,campus,2026-07-15 21:12:19,,,,,any,United States,White,F,232704,3.78,2027,Mona Shores High School,262412006085,c96b542c-1dfa-4f97-9d5e-fd4446cd7840,Bachelor's (4 year),50.0903,Music Performance,Niche,High School Student,catholic,,1150.00,530,620,,
1201 Fox Chase Rd,05/27/2009,Bloomfield Hills,vsamartino@icloud.com,Valentino,Samartino,2485150757,MI,48301,,,,,,,campus,2026-07-17 19:22:55,,,,,any,United States,White,M,,2.75,2027,,,,Bachelor's (4 year),09.0906,Sports Communication,Niche,High School Student,catholic,,810.00,420,390,,
7900 Heather Knoll SE,05/17/2009,Ada,han_solo103@icloud.com,Liam,Henn,6165517229,MI,49301,,,,,,,campus,2026-07-19 20:39:59,,,,,any,United States,White,M,231707,4.0,2028,Northern High School,261461005158,3e9dfa02-5e61-4b56-8d73-f15d812d58da,Bachelor's (4 year),22.0001,Pre-Law Studies,Niche,High School Student,christian-and-missionary-alliance,,,,,,
327 Regent St SE,10/02/2006,Grand Rapids,ayualmanjok4@gmail.com,Ayual,Manjok,6168185424,MI,49548,,,,,,,both,2026-07-16 18:02:49,1254,3.8,2029,Grand Rapids Community College,any,United States,African American,M,231689,3.6,2025,Grand River Preparatory High School,260109507913,e77ae43c-dd18-4f5b-9873-ec7bf5c1ea06,Bachelor's (4 year),52.0803,Banking and Finance,Niche,Transfer Student,nondenominational-christian,,,,,8/1/2027,
2210 Riverside Dr,08/28/2009,Sault Sainte Marie,dregentry4@gmail.com,Draven,Gentry,9064407262,MI,49783,,,,,,Lot F5,both,2026-07-17 23:27:01,,,,,any,United States,Native American,M,230401,1.42,2027,Ojibwe Charter School,260028501657,c5bb54eb-0e63-4a12-ab51-27eae394c299,Bachelor's (4 year),31.0504,Sport and Fitness Management,Niche,High School Student,none,,970.00,440,530,,
1830 Morning Dew Dr SW,07/19/2009,Byron Center,Abby.tromp@gmail.com,Abby,Tromp,6169906786,MI,49315,,,,,,,campus,2026-07-14 19:13:55,,,,,any,United States,White,F,230445,3.87,2028,Byron Center High School,260756004332,ba270b17-c682-48c0-8aa4-fbe3bb4c9e1a,Bachelor's (4 year),51.1102,Pre-Medicine Studies,Niche,High School Student,wesleyan,,,,,,
7250 E Higgins Lake Dr,05/07/2009,Roscommon,angelamarymann@yahoo.com,Caleb,Mann,9893878806,MI,48653,,,,,,,campus,2026-07-15 16:26:27,,,,,any,United States,White,M,233230,4.0,2007,Roscommon High School,261583005233,f7f7b2cb-81b1-4fb0-ae6a-3d8dd9f1c9e5,Bachelor's (4 year),50.09,Music,Niche,High School Student,other-not-listed,,,,,,
8259 Nightingale St,11/16/2009,Dearborn Heights,maliyahg143@gmail.com,Maliyah,Gladney,3136691443,MI,48127,,,,,,,campus,2026-07-16 00:48:23,,,,,any,United States,African American,F,230781,3.4,2027,Crestwood High School,260001603912,a2cad6d4-9bed-4dd6-b815-fd006e97a008,Bachelor's (4 year),44.07,Social Work and Youth Services,Niche,High School Student,methodist,,1170.00,580,590,,
7155 W 107th St,12/27/2008,Worth,macasanova27@gmail.com,Mylin,Casanova,3128711377,IL,60482,,,,,,Apt A,both,2026-07-16 02:45:34,,,,,any,United States,Hispanic,F,143356,3.6,2027,A.B. Shepard High School (Campus),170654000339,a1185a1a-e0e4-4ec5-b7a1-c5fd52f06e85,Bachelor's (4 year),51.1102,Pre-Medicine Studies,Niche,High School Student,none,,,,,,
4810 Meyers St,03/11/2009,Midland,Addiehale29@gmail.com,Addie,Hake,7197449181,MI,48640,,,,,,,campus,2026-07-14 04:47:38,,,,,any,United States,White,F,232582,3.98,2027,H.H. Dow High School,262382006068,c940417c-2f9b-46c0-b668-2c803a4610f3,Bachelor's (4 year),51.38,Nursing,Niche,High School Student,nondenominational-christian,false,1260.00,660,600,,false
3219 10th St,07/23/2009,Monroe,y6smfy8m2t@privaterelay.appleid.com,lilleigh,pridemore,7347311180,MI,48162,,,,,,,campus,2026-07-14 04:34:23,,,,,any,United States,White,F,232611,3.9,2027,Jefferson High School,261980005636,a4fe722b-8bcb-47a9-9e35-8c5273e420ac,Bachelor's (4 year),13.1202,Elementary Education,Niche,High School Student,christian-and-missionary-alliance,false,1100.00,510,590,,false
4588 Lillibridge St,02/21/2008,Detroit,niyabroden8@gmail.com,Janiya,Broden,3134013045,MI,48214,,,,,,,campus,2026-07-15 00:01:19,,,,,any,United States,African American,F,231200,3.7,2027,Southeastern High School,260110304830,07140067-5e60-46e3-bec7-1ff3e6e2059b,Bachelor's (4 year),52.15,Real Estate,Niche,High School Student,church-of-god,,,,,,
296 Arbor St E,02/28/2010,Marcellus,hannahsharp2028@yahoo.com,Hannah,Sharp,2695870250,MI,49067,,,,,,,campus,2026-07-16 01:09:55,,,,,any,United States,White,F,232425,3.9,2028,Marcellus High School,262274005973,2eb620ab-0544-449c-a12d-862c2038d58e,Bachelor's (4 year),31.0505,Kinesiology and Exercise Science,Niche,High School Student,baptist,,,,,,
6878 Madison St,11/19/2008,Hubbard Lake,riellesanders10@gmail.com,Rielle,Sanders,9895901911,MI,49747,,,,,,,campus,2026-07-19 18:52:09,,,,,any,United States,White,F,230068,3.46,2027,Alpena High School,260273003984,9910c7f3-2213-4a2c-acc8-347991cf5de0,Bachelor's (4 year),51.0203,Speech Language Pathology,Niche,High School Student,lutheran,,840.00,400,440,,
286 Frederick St,03/21/2009,Newaygo,alexisnewfer@gmail.com,Alexis,Newfer,2315195000,MI,49337,,,,,,,both,2026-07-17 21:57:21,,,,,any,United States,White,F,232760,3.33,2027,Newaygo High School,262532006190,51c1ade6-fb07-4f77-9f3c-86de66dc7c4d,Bachelor's (4 year),09.0902,Public Relations,Niche,High School Student,i-prefer-not-to-answer,,970.00,450,520,,
11149 Dino Dr,06/07/2010,Romeo,maddieblankenship02@gmail.com,Madison,Blankenship,5864009495,MI,48065,,,,,,,both,2026-07-18 18:58:51,,,,,any,United States,White,F,233220,3.92,2028,Romeo High School,263009006597,1004cc37-5afa-4c9c-8566-e43b72ea7377,Bachelor's (4 year),14.0501,Bioengineering and Biomedical Engineering,Niche,High School Student,catholic,,,,,,
17240 Mount Vernon,05/17/2009,Southfield,stevynwalk@gmail.com,Braylen,Stinson,3137151960,MI,48075,,,,,,,campus,2026-07-14 19:41:13,,,,,any,United States,African American,M,230910,3.21,2027,Martin Luther King Junior/Senior High School,260110304703,1e970239-bff3-4c67-b9a7-343d69c8ffd1,Bachelor's (4 year),31.0504,Sport and Fitness Management,Niche,High School Student,other-not-listed,,,,,,
4615 Trotters Pointe Cir,06/18/2009,Midland,bskyy09@gmail.com,Brooke,Dantzer,9893854050,MI,48642,,,,,,,both,2026-07-13 12:19:28,,,,,any,United States,White,F,232585,3.95,2027,Midland High School,262382006060,8d06490d-e813-4106-9e77-59f3ce3d345f,Bachelor's (4 year),13.1328,History Teacher Education,Niche,High School Student,agnostic,,1310.00,690,620,,
1609 E Stoney Corners Rd,06/23/2009,Mc Bain,ericasantana0623@gmail.com,Erica,Santana,2314299340,MI,49657,,,,,,,both,2026-07-16 12:02:03,,,,,any,United States,White,F,232510,3.7,2027,McBain High School,262331006016,5f64d8a8-c7dd-459f-9f99-96854c59817f,Bachelor's (4 year),13.1001,Special Education and Teaching,Niche,High School Student,none,,960.00,430,530,,
12263 E D Ave,03/17/2009,Richland,rozewiczmelina@gmail.com,Melina,Rozewicz,2695013615,MI,49083,,,,,,,campus,2026-07-16 15:56:53,,,,,any,United States,White,F,231940,3.5,2027,Gull Lake High School,261725005406,bf97c23f-b103-4552-bd64-5afbdcd0f22e,Bachelor's (4 year),50.0409,Graphic Design,Niche,High School Student,none,,1140.00,600,540,,
10344 Seymour Rd,01/19/2009,Gaines,madisonmcdaniel996@gmail.com,Madison,McDaniel,8108693555,MI,48436,,,,,,,both,2026-07-17 17:44:36,,,,,any,United States,White,F,231425,3.65,2027,Fenton Senior High School,261425005068,56e076ac-57a0-42d6-95ae-6f3cfe2b17e8,Bachelor's (4 year),51,Health Professions,Niche,High School Student,i-prefer-not-to-answer,,,,,,
122 Wardin Lane,04/04/2009,Hemlock,ryleighbain27@gmail.com,Ryleigh,Bain,9894150002,MI,48626,,,,,,,campus,2026-07-16 16:20:46,,,,,any,United States,White,F,231920,3.99,2027,Hemlock High School,261818005487,c1b893ce-3533-49a2-ae70-04f96c77af87,Bachelor's (4 year),51.38,Nursing,Niche,High School Student,lutheran,,1100.00,560,540,,
4338 Pondview Dr,01/06/2009,Swartz Creek,miamerrell9@gmail.com,Mia,Merrell,8104286666,MI,48473,,,,,,,campus,2026-07-20 00:12:54,,,,,any,United States,White,F,231427,4.0,2027,Lake Fenton High School,262067005730,c7a4d60c-446c-488e-b5a6-749b21705b57,Bachelor's (4 year),26.01,Biology,Niche,High School Student,catholic,,1260.00,640,620,,
7086 Crosswinds Dr,08/31/2009,Swartz Creek,diamondnicole3009@gmail.com,Diamond,Marble,8108742522,MI,48473,,,,,,,campus,2026-07-15 20:05:15,,,,,any,United States,African American,F,,3.0,2027,Beecher Alternative Education,260450009027,1323fcc2-2359-4d8e-a501-a1bd5d56c645,Bachelor's (4 year),51.08,Medical Assistant,Niche,High School Student,baptist,,,,,,
19031 Kentfield St,06/10/2009,Detroit,thepriestlife76@gmail.com,krista,butler,3134277480,MI,48219,,,,,,,campus,2026-07-19 22:02:30,,,,,any,United States,African American,F,230333,2.7,2027,Wylie E. Groves High School,260585004226,54ac7870-02fa-478d-bbcf-c4d0548cb221,Bachelor's (4 year),42.0101,Psychology,Niche,High School Student,i-prefer-not-to-answer,,,,,,
16557 Marlowe St,05/07/2010,Detroit,angelicabrooks707@gmail.com,Angelica,Rawls,3134514256,MI,48235,,,,,,,both,2026-07-18 20:26:37,,,,,any,United States,African American,F,230924,3.40,2028,Jalen Rose Leadership Academy,260099308233,90a5074f-50ce-4c2b-8953-9318cbab598a,Bachelor's (4 year),42.2703,Developmental and Child Psychology,Niche,High School Student,i-prefer-not-to-answer,,,,,,
152 John Daly St,06/05/2009,Inkster,brooklynabney48@gmail.com,Brooklyn,Abney,3135974982,MI,48141,,,,,,,both,2026-07-17 03:40:14,,,,,any,United States,African American,F,233711,2.9,2027,John Glenn High School,260001503890,b58a9b64-b4a5-40f4-a485-653eee154996,Bachelor's (4 year),51.1502,Psychiatric and Mental Health Services,Niche,High School Student,church-of-god,,,,,,
8123 New Bradford Blvd,01/09/2009,Sterling Heights,raidahsarkar2009@gmail.com,Raidah,Sarkar,5864576027,MI,48312,,,,,,,campus,2026-07-18 14:14:00,,,,,any,United States,Asian,F,233626,2.4,2027,Adlai Stevenson High School,263447007009,abc891ca-c245-425b-95f0-d785ab7cf110,Bachelor's (4 year),22.0001,Pre-Law Studies,Niche,High School Student,islam,,,,,,
2896 Oakwood Dr,11/03/2008,Port Huron,payton.hill1138@gmail.com,Payton,Hill,8102422301,MI,48060,,,,,,,campus,2026-07-18 17:38:55,,,,,any,United States,White,F,233083,3.75,2027,Port Huron High School,262883006475,a7fcceff-9ce7-4cef-9d24-fcf73ae05de1,Bachelor's (4 year),26.01,Biology,Niche,High School Student,i-prefer-not-to-answer,,1140.00,580,560,,
4429 Grayton St,06/09/2009,Detroit,wealthy.kdd@gmail.com,Kalee,Givens,3138047007,MI,48224,,,,,,,campus,2026-07-18 01:18:25,,,,,any,United States,African American,F,,3.0,2027,,,,Bachelor's (4 year),51.38,Nursing,Niche,High School Student,none,,500.00,200,300,,
129 N Plank Rd,10/15/2009,Tawas City,eortiz.college27@gmail.com,Ellissa,Ortiz,9893922094,MI,48763,,,,,,,campus,2026-07-14 06:05:14,,,,,any,United States,Hispanic,F,233545,3.75,2027,Tawas Area High School,263351006885,9a937096-ac04-442a-a994-6d817aed460c,Bachelor's (4 year),22.0001,Pre-Law Studies,Niche,High School Student,churches-of-christ,false,1020.00,480,540,,false
797 Distel St,07/31/2009,Detroit,jenniferb3109@gmail.com,Jennifer,Barragan,3136547357,MI,48209,,,,,,,campus,2026-07-15 17:20:52,,,,,any,United States,Hispanic,F,,4.0,2027,,,,Bachelor's (4 year),04.05,Interior Architecture,Niche,High School Student,catholic,,1200.00,600,600,,
8314 Saint Cyril St,03/03/2009,Detroit,milli2009p@icloud.com,Amilian,Precaj,5863051768,MI,48213,,,,,,,campus,2026-07-15 15:18:56,,,,,any,United States,Hispanic,M,231833,3.0,2027,Hamtramck High School,261752005421,e74e256e-77a2-406e-8821-7b7bf6098f61,Bachelor's (4 year),43.0406,Forensic Science and Technology,Niche,High School Student,catholic,,,,,,
19752 Hartwell Ave,06/16/2009,Detroit,lamiasolomon25@gmail.com,LaMia,Solomon,3138887955,MI,48235,,,,,,,campus,2026-07-14 14:21:57,,,,,any,United States,African American,F,231002,2.43,2027,Old Redford Academy High School,260024201699,af724498-6f71-492a-bae0-314c7a631eb8,Bachelor's (4 year),52,Business,Niche,High School Student,none,,,,,,
3560 N Dixie Hwy,02/12/2009,Monroe,ljblair2009@gmail.com,Leah,Blair,7347909833,MI,48162,,,,,,,both,2026-07-17 00:15:12,,,,,any,United States,I prefer not to answer,F,232611,3.9,2027,Jefferson High School,261980005636,a4fe722b-8bcb-47a9-9e35-8c5273e420ac,Bachelor's (4 year),50.0407,Fashion and Apparel Design,Niche,High School Student,i-prefer-not-to-answer,,,,,,
15751 W Lehman Rd,08/04/2010,Westphalia,mariah.beuschel2028@pwschools.org,Mariah,Beuschel,9892090862,MI,48894,,,,,,,campus,2026-07-17 17:18:38,,,,,any,United States,White,F,233000,3.9,2028,Pewamo-Westphalia Junior/Senior High School,262796006378,c009c687-6aa6-4bd5-9192-ea2aa564e59d,Bachelor's (4 year),52,Business,Niche,High School Student,catholic,,,,,,
116 Margaret Dr,07/07/2008,Warner Robins,7hs9nmfb99@privaterelay.appleid.com,Aiden,Carter,4789515723,GA,31093,25.75,25,26,25,27,,campus,2026-07-17 09:41:30,,,,,any,United States,White,M,113159,4.0,2027,Northside High School,130288001230,8a8b6bf3-bd39-4461-831a-f7e13022c05e,Bachelor's (4 year),14.02,Aerospace Engineering,Niche,High School Student,baptist,,,,,,
13248 Fowler Rd,07/24/2009,Chesaning,addisonrogers931@gmail.com,Addison,Rogers,9892773023,MI,48616,,,,,,,campus,2026-07-17 23:17:38,,,,,any,United States,I prefer not to answer,F,230612,3.75,2027,Chesaning Union High School,260915004444,b25a4c06-2d8d-4e29-bc9d-c663ba189093,Bachelor's (4 year),26.1301,Ecology and Evolutionary Biology,Niche,High School Student,atheist,,,,,,
5813 Edgar Holt Dr,06/29/2009,Flint,ahlonnaspillers3@gmail.com,Ahlonna,Spillers,8103363986,MI,48505,,,,,,,both,2026-07-19 16:04:08,,,,,any,United States,African American,F,231498,3.61,2027,Hamady Community High School,263597007205,b0e61d8e-bf08-4738-b3c7-fee1bd639610,Bachelor's (4 year),51.0910,Sonographer and Ultrasound Technician,Niche,High School Student,church-of-god,,830.00,440,390,,
23573 Stonehenge Blvd,06/04/2009,Novi,novsnyders16@stu.novik12.org,Sophia,Snyder,2489798072,MI,48375,,,,,,,campus,2026-07-13 16:38:34,,,,,any,United States,Hispanic,F,232843,3.65,2027,Novi High School,262613006263,ea9f2763-5ee4-4256-bfa9-4f87abbde7dc,Bachelor's (4 year),13.1001,Special Education and Teaching,Niche,High School Student,catholic,,,,,,
13287 Coyle St,08/28/2009,Detroit,oakashwoodp03@stu.opsk12.org,Peyton,Ashwood,2484975240,MI,48227,,,,,,,both,2026-07-19 02:55:10,,,,,any,United States,African American,F,232845,2.5,2027,Oak Park High School,262619006271,1610ec8a-4898-4490-a973-08b86033ccf2,Bachelor's (4 year),04.02,Architecture,Niche,High School Student,i-prefer-not-to-answer,,,,,,
15415 Grainger Dr,10/18/2008,Clinton Township,mileya1018@gmail.com,Miley,Austin,2487649502,MI,48038,,,,,,,campus,2026-07-16 18:02:56,,,,,any,United States,White,F,232651,3.85,2027,Chippewa Valley High School,260957004454,8237d7d5-4744-47b1-8e8b-8c872eaddfb7,Bachelor's (4 year),31.0504,Sport and Fitness Management,Niche,High School Student,christian-and-missionary-alliance,,980.00,480,500,,
5891 Crosswinds Dr Unit 22,10/05/2009,Norton Shores,jaya.harris09@gmail.com,Jaya,Harris,2316389174,MI,49444,,,,,,Unit 22,both,2026-07-17 01:21:11,,,,,any,United States,African American,F,231670,2.75,2027,Grand Haven High School,261638005282,6069f6a3-3a83-4150-844e-a03ed54cdf63,Bachelor's (4 year),51.0909,Surgical Technologist,Niche,High School Student,pentecostal,,,,,,
11332 Brickand Dr,12/17/2008,Grand Ledge,victoriashriver@icloud.com,Victoria,Shriver,5177639181,MI,48837,,,,,,,online,2026-07-18 17:53:41,,,,,any,United States,White,F,231675,3.2,2027,Grand Ledge High School,261641005293,5bafdc71-3b49-4000-8a09-bccfd85fcec4,Bachelor's (4 year),43.0104,Criminal Justice and Safety Studies,Niche,High School Student,i-prefer-not-to-answer,,,,,,
1175 N Dawn Dr,08/24/2007,Freeland,baumanollie@gmail.com,natalie,bauman,9892941225,MI,48623,,,,,,,both,2026-07-19 17:15:12,5189,3.4,2030,Saginaw Valley State University,any,United States,White,other,231583,3.4,2026,Freeland Middle/High School,261506005188,595d3a52-6f27-41fb-8c19-ae7a4aeeeff2,Bachelor's (4 year),44.07,Social Work and Youth Services,Niche,Transfer Student,agnostic,,,,,8/1/2028,
10012 Pheasant Crossing Rd,12/17/2008,Jackson,isaaccaroffino@gmail.com,Isaac,Caroffino,5172478848,MI,49201,,,,,,,campus,2026-07-16 14:48:20,,,,,any,United States,White,M,232730,4.0,2027,Napoleon High School,262496006174,7275f7cf-a619-445c-9567-e5233e85e33e,Bachelor's (4 year),45.06,Economics,Niche,High School Student,church-of-the-nazarene,,1160.00,550,610,,
15908 Lamphere St,12/16/2008,Detroit,shardabriggs@gmail.com,Shnyah,Briggs,3137362171,MI,48223,,,,,,,campus,2026-07-18 11:50:46,,,,,any,United States,African American,F,230917,3.5,2027,Ford High School,260110304734,b319bf7a-92ac-40cd-9ffd-67fcdab63db5,Bachelor's (4 year),22.0001,Pre-Law Studies,Niche,High School Student,atheist,,,,,,
1889 Woodfern,03/13/2009,Lowell,lilahcone@gmail.com,Lilah,Cond,6162079509,MI,49331,,,,,,,campus,2026-07-19 03:27:51,,,,,any,United States,White,F,232360,3.4,2027,Lowell Senior High School,262205005926,2bdfbb37-c53e-401f-9a2b-73ef44c7e54f,Bachelor's (4 year),52,Business,Niche,High School Student,christian-and-missionary-alliance,,,,,,
701 N Antler St,11/07/2008,gladwin,kedetzle@gladwinschools.net,Kaitlyn,Detzler,9894181020,MI,48624,,,,,,,both,2026-07-18 18:52:16,,,,,any,United States,White,F,231635,3.45,2027,Gladwin High School,261599007485,2fd3d5bb-c1ea-478f-91ff-457f738dd9ee,Bachelor's (4 year),13,Education,Niche,High School Student,atheist,,1020.00,540,480,,
10461 Shaner Ave NE,07/03/2009,Rockford,brycenlong2@gmail.com,Brycen,Long,6164981908,MI,49341,,,,,,,campus,2026-07-17 16:27:43,,,,,any,United States,White,M,233205,3.5,2027,Rockford High School,263003006588,9396d65f-a47f-4777-b8ef-32e07ea915dd,Bachelor's (4 year),13.1328,History Teacher Education,Niche,High School Student,christian-and-missionary-alliance,,,,,,
2016 Troy St,03/13/2009,Madison,leahkay1309@gmail.com,leah,morton,7302398302,IL,62060,16.25,16,21,17,11,,campus,2026-07-17 04:46:12,,,,,any,United States,White,F,142120,3.0,2026,Granite City High School,171728002028,b568161b-eb70-457b-b345-ed9206bf7d5c,Bachelor's (4 year),42.0101,Psychology,Niche,High School Student,none,,,,,,false
3531 144th Ave,12/29/2009,Dorr,ajvd1229@gmail.com,Alysha,Van Dam,6164382024,MI,49323,,,,,,,both,2026-07-14 01:18:28,,,,,any,United States,White,F,233845,3.98,2028,Zeeland East High School,263666007296,3ae77bf3-47c9-4b72-94d2-7eea1b236e9f,Bachelor's (4 year),42.0101,Psychology,Niche,High School Student,christian-and-missionary-alliance,,,,,,
15820 Westcott Dr,07/27/2009,Southgate,bebeluv3381@yahoo.com,Gracie,Urista,7344079422,MI,48195,,,,,,,campus,2026-07-15 03:48:51,,,,,any,United States,White,F,233805,2.78,2027,Riverview Community High School,262991006564,7020d1c3-2a18-4fb6-a026-321af58c836e,Bachelor's (4 year),52.0301,Accounting,Niche,High School Student,church-of-the-nazarene,,,,,,
521 Red Beech Dr,12/21/2009,Flint,shanialmarkley21@icloud.com,Shanialyn,Wiltfong,8103758122,MI,48506,,,,,,,campus,2026-07-17 05:58:29,,,,,any,United States,White,F,231495,2.9,2028,Kearsley High School,262007005692,a9f2b386-bcf2-46f4-9753-ca73cdbb9980,Bachelor's (4 year),43.0103,Criminal Justice and Law Enforcement Administration,Niche,High School Student,none,,,,,,
24860 River Heights St,06/23/2009,Southfield,diamonddevine09@gmail.com,Diamond,Devine,3137841799,MI,48033,,,,,,,campus,2026-07-19 00:28:48,,,,,any,United States,African American,F,232882,2.31,2027,West Bloomfield High School,263582007181,669824c1-ba5e-4a1c-b53d-dfa078f68648,Bachelor's (4 year),51.3805,Family Practice and Pediatric Nursing,Niche,High School Student,i-prefer-not-to-answer,,1030.00,460,570,,
25607 Lincoln Terrace Dr,01/08/2010,Oak Park,khloeevans72@gmail.com,Khloe,Evans,2483833529,MI,48237,,,,,,Apt 103,both,2026-07-18 20:55:05,,,,,any,United States,African American,F,232845,3.3,2028,Oak Park High School,262619006271,1610ec8a-4898-4490-a973-08b86033ccf2,Bachelor's (4 year),45.10,Political Science and Government,Niche,High School Student,none,,,,,,
9903 Oaklawn Blvd,10/17/2008,Huntersvillie,madzz5004@gmail.com,Madison,Murchison,9807773463,NC,28078,20.50,18,18,21,25,,campus,2026-07-13 20:09:05,,,,,any,United States,African American,F,340302,3.2,2027,Cox Mill High School,370053003083,ad00b992-8be6-48a7-b8b4-a7129090da67,Bachelor's (4 year),42.2801,Clinical Psychology,Niche,High School Student,none,false,,,,,false
